rank,japanese,reading,meaning_ko,example_jp,example_ko,category
1,こんにちは,こんにちは,안녕하세요,こんにちは。今日はいい天気ですね。,안녕하세요. 오늘 날씨가 좋네요.,인사
2,ありがとうございます,ありがとうございます,감사합니다,本当にありがとうございます。,정말 감사합니다.,인사
3,すみません,すみません,실례합니다/죄송합니다/저기요,すみません。駅はどこですか。,실례합니다. 역은 어디예요?,기본
4,お願いします,おねがいします,부탁합니다,これをお願いします。,이걸로 부탁합니다.,기본
5,大丈夫です,だいじょうぶです,괜찮습니다,はい。大丈夫です。,네. 괜찮습니다.,기본
6,分かりません,わかりません,모르겠습니다,すみません。分かりません。,죄송하지만 모르겠습니다.,기본
7,分かりました,わかりました,알겠습니다,はい。分かりました。,네. 알겠습니다.,기본
8,もう一度お願いします,もういちど おねがいします,한 번 더 부탁합니다,すみません。もう一度お願いします。,죄송하지만 한 번 더 말씀해 주세요.,기본
9,ゆっくり話してください,ゆっくり はなして ください,천천히 말해 주세요,もう少しゆっくり話してください。,조금 더 천천히 말해 주세요.,기본
10,日本語は少しだけ話せます,にほんごは すこしだけ はなせます,日本어는 조금만 할 수 있어요,日本語は少しだけ話せます。,일본어는 조금만 할 수 있습니다.,기본
11,韓国から来ました,かんこくから きました,한국에서 왔습니다,私は韓国から来ました。,저는 한국에서 왔습니다.,기본
12,これは何ですか,これは なんですか,이것은 무엇인가요,すみません。これは何ですか。,저기요. 이건 뭐예요?,기본
13,どういう意味ですか,どういう いみですか,무슨 뜻인가요,これはどういう意味ですか。,이건 무슨 뜻인가요?,기본
14,本当ですか,ほんとうですか,정말이에요,えっ。本当ですか。,어. 정말이에요?,회화
15,いいですね,いいですね,좋네요,その店いいですね。,그 가게 좋네요.,회화
16,そうですね,そうですね,그러네요/그렇군요,そうですね。私もそう思います。,그러네요. 저도 그렇게 생각해요.,회화
17,そうなんですね,そうなんですね,아 그렇군요,あ。そうなんですね。,아. 그렇군요.,회화
18,もちろんです,もちろんです,물론이죠,もちろんです。大丈夫です。,물론이죠. 괜찮습니다.,회화
19,ちょっと待ってください,ちょっと まって ください,잠깐 기다려 주세요,ちょっと待ってください。すぐ行きます。,잠깐 기다려 주세요. 바로 갈게요.,회화
20,今行きます,いま いきます,지금 갈게요,はい。今行きます。,네. 지금 갈게요.,회화
21,いくらですか,いくらですか,얼마예요,これはいくらですか。,이건 얼마예요?,쇼핑
22,これをください,これを ください,이거 주세요,すみません。これをください。,저기요. 이거 주세요.,쇼핑
23,これにします,これに します,이걸로 할게요,じゃあ。これにします。,그럼 이걸로 할게요.,쇼핑
24,カードは使えますか,かーどは つかえますか,카드 사용할 수 있나요,ここでカードは使えますか。,여기서 카드 사용할 수 있나요?,쇼핑
25,現金で払います,げんきんで はらいます,현금으로 계산할게요,現金で払います。,현금으로 계산하겠습니다.,쇼핑
