rank,japanese,reading_ko,meaning_ko,category
1,私,와타시,저 / 나,기본
2,今日,쿄오,오늘,기본
3,明日,아시타,내일,기본
4,今,이마,지금,기본
5,時間,지칸,시간,기본
6,大丈夫,다이조오부,괜찮다 / 괜찮음,기본
7,本当,혼토오,정말 / 사실,기본
8,少し,스코시,조금,기본
9,ここ,코코,여기,기본
10,そこ,소코,거기,기본
11,あそこ,아소코,저기,기본
12,どこ,도코,어디,기본
13,何,나니 / 난,무엇 / 뭐,기본
14,はい,하이,네,기본
15,いいえ,이에,아니요,기본
16,名前,나마에,이름,기본
17,韓国,칸코쿠,한국,기본
18,日本,니혼,일본,기본
19,日本語,니혼고,일본어,기본
20,英語,에이고,영어,기본
21,空港,쿠우코오,공항,공항
22,国際線,코쿠사이센,국제선,공항
23,国内線,코쿠나이센,국내선,공항
24,出発,슛파츠,출발,공항
25,到着,토오챠쿠,도착,공항
26,搭乗口,토오죠오구치,탑승구,공항
27,搭乗券,토오죠오켄,탑승권,공항
28,航空券,코오쿠우켄,항공권,공항
29,パスポート,파스포오토,여권,공항
30,チェックイン,쳇쿠인,체크인,공항
31,カウンター,카운타아,카운터,공항
32,手荷物,테니모츠,휴대 수하물,공항
33,荷物,니모츠,짐 / 수하물,공항
34,スーツケース,스우츠케에스,여행가방 / 캐리어,공항
35,預け荷物,아즈케니모츠,위탁 수하물,공항
36,重量,주우료오,무게,공항
37,超過料金,초오카료오킨,초과 요금,공항
38,保安検査,호안켄사,보안검색,공항
39,税関,제에칸,세관,공항
40,両替,료오가에,환전,공항
41,飛行機,히코오키,비행기,기내
42,座席,자세키,좌석,기내
43,窓側,마도가와,창가 쪽,기내
44,通路側,츠우로가와,통로 쪽,기내
45,前,마에,앞,기내
46,後ろ,우시로,뒤,기내
47,毛布,모오후,담요,기내
48,枕,마쿠라,베개,기내
49,水,미즈,물,기내
50,機内食,키나이쇼쿠,기내식,기내
51,飲み物,노미모노,음료,기내
52,イヤホン,이야혼,이어폰,기내
53,シートベルト,시이토베루토,안전벨트,기내
54,トイレ,토이레,화장실,기내
55,入国カード,뉴우코쿠카아도,입국 카드,입국심사
56,入国審査,뉴우코쿠신사,입국심사,입국심사
57,滞在,타이자이,체류,입국심사
58,観光,칸코오,관광,입국심사
59,旅行,료코오,여행,입국심사
60,ホテル,호테루,호텔,입국심사
61,駅,에키,역,교통
62,電車,덴샤,전철,교통
63,地下鉄,치카테츠,지하철,교통
64,新幹線,신칸센,신칸센,교통
65,バス,바스,버스,교통
66,タクシー,타쿠시이,택시,교통
67,切符,킷푸,표 / 승차권,교통
68,乗り場,노리바,타는 곳 / 승강장,교통
69,改札,카이사츠,개찰구,교통
70,出口,데구치,출구,교통
71,入口,이리구치,입구,교통
72,乗り換え,노리카에,환승,교통
73,次,츠기,다음,교통
74,終点,슈우텐,종점,교통
75,快速,카이소쿠,쾌속,교통
76,各駅停車,카쿠에키테에샤,각역정차,교통
77,指定席,시테에세키,지정석,교통
78,自由席,지유우세키,자유석,교통
79,片道,카타미치,편도,교통
80,往復,오오후쿠,왕복,교통
81,予約,요야쿠,예약,호텔
82,部屋,헤야,방 / 객실,호텔
83,鍵,카기,열쇠 / 키,호텔
84,カードキー,카아도키이,카드키,호텔
85,朝食,초오쇼쿠,아침 식사,호텔
86,チェックアウト,쳇쿠아우토,체크아웃,호텔
87,フロント,후론토,프런트 데스크,호텔
88,エレベーター,에레베에타아,엘리베이터,호텔
89,Wi-Fi,와이파이,와이파이,호텔
90,タオル,타오루,수건,호텔
91,充電器,주우덴키,충전기,호텔
92,コンセント,콘센토,콘센트 / 전원,호텔
93,禁煙,킨엔,금연,호텔
