rank,expression,count,frequency_score,source
1,i don't,5505,74.8,OpenSubtitles v2018 / OPUS
2,you know,4304,72.7,OpenSubtitles v2018 / OPUS
3,all right,3885,71.8,OpenSubtitles v2018 / OPUS
4,thank you,3750,71.5,OpenSubtitles v2018 / OPUS
5,want to,3220,70.2,OpenSubtitles v2018 / OPUS
6,come on,3071,69.7,OpenSubtitles v2018 / OPUS
7,i know,2892,69.2,OpenSubtitles v2018 / OPUS
8,out of,2770,68.9,OpenSubtitles v2018 / OPUS
9,don't know,2268,67.1,OpenSubtitles v2018 / OPUS
10,you want,2211,66.9,OpenSubtitles v2018 / OPUS
11,i think,2162,66.7,OpenSubtitles v2018 / OPUS
12,you don't,2098,66.4,OpenSubtitles v2018 / OPUS
13,to get,1950,65.8,OpenSubtitles v2018 / OPUS
14,don't you,1948,65.8,OpenSubtitles v2018 / OPUS
15,i'm not,1934,65.7,OpenSubtitles v2018 / OPUS
16,i want,1809,65.2,OpenSubtitles v2018 / OPUS
17,you think,1749,64.9,OpenSubtitles v2018 / OPUS
18,i didn't,1701,64.6,OpenSubtitles v2018 / OPUS
19,i can't,1678,64.5,OpenSubtitles v2018 / OPUS
20,let me,1653,64.4,OpenSubtitles v2018 / OPUS
21,i don't know,1631,64.3,OpenSubtitles v2018 / OPUS
22,it's a,1590,64.0,OpenSubtitles v2018 / OPUS
23,tell you,1450,63.2,OpenSubtitles v2018 / OPUS
24,the way,1359,62.7,OpenSubtitles v2018 / OPUS
25,tell me,1350,62.6,OpenSubtitles v2018 / OPUS
26,know what,1317,62.4,OpenSubtitles v2018 / OPUS
27,a good,1284,62.2,OpenSubtitles v2018 / OPUS
28,i'm sorry,1196,61.6,OpenSubtitles v2018 / OPUS
29,you get,1126,61.0,OpenSubtitles v2018 / OPUS
30,back to,1122,61.0,OpenSubtitles v2018 / OPUS
31,you mean,1109,60.9,OpenSubtitles v2018 / OPUS
32,i've got,1105,60.9,OpenSubtitles v2018 / OPUS
33,in this,1100,60.8,OpenSubtitles v2018 / OPUS
34,you can't,1100,60.8,OpenSubtitles v2018 / OPUS
35,don't want,1091,60.8,OpenSubtitles v2018 / OPUS
36,look at,1089,60.7,OpenSubtitles v2018 / OPUS
37,in your,1072,60.6,OpenSubtitles v2018 / OPUS
38,give me,1039,60.3,OpenSubtitles v2018 / OPUS
39,it's not,1038,60.3,OpenSubtitles v2018 / OPUS
40,just a,1030,60.3,OpenSubtitles v2018 / OPUS
41,what's the,1000,60.0,OpenSubtitles v2018 / OPUS
42,get out,974,59.8,OpenSubtitles v2018 / OPUS
43,i want to,929,59.4,OpenSubtitles v2018 / OPUS
44,i just,915,59.2,OpenSubtitles v2018 / OPUS
45,i guess,881,58.9,OpenSubtitles v2018 / OPUS
46,you're not,880,58.9,OpenSubtitles v2018 / OPUS
47,to know,857,58.7,OpenSubtitles v2018 / OPUS
48,that's all,855,58.6,OpenSubtitles v2018 / OPUS
49,you go,853,58.6,OpenSubtitles v2018 / OPUS
50,let's go,848,58.6,OpenSubtitles v2018 / OPUS
51,the time,842,58.5,OpenSubtitles v2018 / OPUS
52,good night,840,58.5,OpenSubtitles v2018 / OPUS
53,i'll be,837,58.5,OpenSubtitles v2018 / OPUS
54,to take,836,58.5,OpenSubtitles v2018 / OPUS
55,take it,835,58.4,OpenSubtitles v2018 / OPUS
56,you want to,825,58.3,OpenSubtitles v2018 / OPUS
57,i don't want,810,58.2,OpenSubtitles v2018 / OPUS
